"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"412","I am not imagine this also...and no solution from OLA...share this type video people should know this is real ola..… https://t.co/WLIkK37I1H",FALSE,0,NA,2023-04-28 09:10:50,TRUE,NA,"1651876618032365569",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","asis_panna",0,FALSE,FALSE,NA,NA
"413","@agupaul26138491 @PoliceNG To come arrest him or what?",FALSE,0,"agupaul26138491",2023-04-28 09:10:42,FALSE,"1651700438587113483","1651876582158376962","1630505009296056322","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ola_abimbola1",0,FALSE,FALSE,NA,NA
"414","RT @Colourz_0: Get ready for another banger Ep from @shotaboyfire dropping May 5th<U+0001F525>
Get your dancing shoes ready<U+0001F483><U+0001F3FB>

Presave the Ep via the…",FALSE,0,NA,2023-04-28 09:10:42,FALSE,NA,"1651876581432778752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ola_bode42",69,TRUE,FALSE,NA,NA
"415","Ola S1. Build to perfection. Was so much fun to do this and see the scooter fly. We truly tested it to the limits! https://t.co/K4HE4LJNyb",FALSE,6,NA,2023-04-28 09:10:40,FALSE,NA,"1651876574210260994",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","akhandelwal",1,FALSE,FALSE,NA,NA
"416","Ola!!!!! Will be releasing the au this weekend, so watch out!!<U+0001F440>

#DonnyPangilinan | #BelleMariano 
#DonBelle |… https://t.co/Sxer2k8Z7t",FALSE,4,NA,2023-04-28 09:10:40,TRUE,NA,"1651876574105575425",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","belleninato14",3,FALSE,FALSE,NA,NA
"417","@emejimeta2 good morning ma'am, you look good.",FALSE,0,"emejimeta2",2023-04-28 09:10:37,FALSE,"1651856709416108032","1651876564034895872","1317119836200325120","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ola_alademuniru",0,FALSE,FALSE,NA,NA
"418","RT @_Adaigbo: Flaunting my a$$ cause it’s getting big <U+0001F62E><U+200D><U+0001F4A8><U+0001F62E><U+200D><U+0001F4A8> https://t.co/AHftKahyt6",FALSE,0,NA,2023-04-28 09:10:29,FALSE,NA,"1651876526814535680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ola_bode42",341,TRUE,FALSE,NA,NA
"419","@TedLuca48259602 @EphremKesis Did Amhara kill innocent civilians? Murdered of innocent 000s OLA is invited for nego… https://t.co/lyOcV3wZFt",FALSE,0,"TedLuca48259602",2023-04-28 09:10:25,TRUE,"1651830476393402368","1651876511396384770","1423172027607764993","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","djyes4",0,FALSE,FALSE,NA,NA
"420","@Tolameora So sorry <U+0001F61E>",FALSE,0,"Tolameora",2023-04-28 09:10:22,FALSE,"1651506599188373506","1651876500377927683","160577854","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_arin_ola",0,FALSE,FALSE,NA,NA
"421","RT @Ola_Crrypt: $200 Giveaway Sponsored by $Caesar 

<U+0001F538>Follow @Caesarmemecoin <U+0001F514>

<U+0001F539>Follow @Ola_Crrypt <U+0001F514>

<U+2747><U+FE0F>Like, Retweet &amp; Tag 3 friend

<U+2705>Joi…",FALSE,0,NA,2023-04-28 09:10:19,FALSE,NA,"1651876487451095042",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cryptobabe_1",216,TRUE,FALSE,NA,NA
